,cast,genres,keywords,production_companies,production_countries,title
2507,RayLiotta LLCoolJ MekhiPhifer JoleneBlalock,Mystery Crime Drama Thriller,,SidneyKimmelEntertainment GreenestreetFilms LongfellowPictures BonnieTimmermannProductions,UnitedStatesofAmerica,Slow Burn
2508,JeanReno RyokoHirosue MichelMuller CaroleBouquet,Drama Action Comedy,handcuffs hitman loveletter policeoperation japanesemafia golfclub brutalcop,CanalPlus TF1FilmsProductions Tobis Destiny EuropaCorp,Japan France,Wasabi
2509,NathanFillion DonThompson ElizabethBanks GreggHenry,Comedy Horror ScienceFiction,smalltown mutant meteor meat alien violence parasite slug bodilydismemberment aftercreditsstinger duringcreditsstinger bodyhorror,UniversalPictures,Canada UnitedStatesofAmerica,Slither
2510,EddieMurphy JudgeReinhold JohnAshton RonnyCox,Action Comedy Crime,california showdown undercover stripclub investigation weapon police smuggling swimmingpool gunfight mansion losangeles footchase artgallery carchase warehouse beverlyhills buddycomedy countryclub maverickcop detroitmichigan damselindistress barfight,ParamountPictures EddieMurphyProductions,UnitedStatesofAmerica,Beverly Hills Cop
2511,MacaulayCulkin JoePesci DanielStern JohnHeard,Comedy Family,holiday burglar homeinvasion mischief boobytrap homealone suburbanchicago mischievouschild christmas child,TwentiethCenturyFoxFilmCorporation HughesEntertainment,UnitedStatesofAmerica,Home Alone
2512,TomSelleck SteveGuttenberg TedDanson NancyTravis,Family Comedy Drama,baby roommate bachelor party windeln solteros,TouchstonePictures InterscopeCommunications,UnitedStatesofAmerica,Three Men and a Baby
2513,DustinHoffman JessicaLange TeriGarr DabneyColeman,Comedy Romance,infidelity love friends crossdressing reputation unemployedactor serenade hitinthecrotch apology livetelevision actress actor,ColumbiaPicturesCorporation MirageEnterprises PunchProductions DelphiFilms TheCriterionCollection,UnitedStatesofAmerica,Tootsie
2514,TomCruise KellyMcGillis ValKilmer AnthonyEdwards,Action Romance War,lovesickness lossoflover fighterpilot self-discovery pilot ejectionseat dyinganddeath officer trainingcamp airforce airplane dangerous battleassignment u.s.navy hostility secretlove cowardliness pilotschool,ParamountPictures,UnitedStatesofAmerica,Top Gun
2515,ChowYun-fat MichelleYeoh ZhangZiyi ChangChen,Adventure Drama Action Romance,flying martialarts taskmaster comb tiger desertthief theft femalemartialartist,SonyPicturesClassics ChinaFilmCo-ProductionCorporation ColumbiaPicturesFilmProductionAsia GoodMachine EDKOFilm AsiaUnionFilm&EntertainmentLtd. UnitedChinaVision ZoomHuntInternationalProductionsCompanyLtd.,China HongKong Taiwan UnitedStatesofAmerica,卧虎藏龙
2516,KevinSpacey AnnetteBening ThoraBirch WesBentley,Drama,malenudity femalenudity adultery midlifecrisis comingout firsttime camcorder virgin nudity filmmaker estateagent satire loneliness darkcomedy suburbia comingofage marijuana exercise parentchildrelationship bittersweet affair,DreamWorksSKG Jinks/CohenCompany,UnitedStatesofAmerica,American Beauty
2517,ColinFirth GeoffreyRush HelenaBonhamCarter GuyPearce,Drama History,greatbritain radio monarchy radiotransmission royalfamily speech marriage royalty deathoffather,TheWeinsteinCompany UKFilmCouncil BedlamProductions See-SawFilms AegisFilmFund FilmNationEntertainment MomentumPictures MolinareInvestment,UnitedKingdom,The King's Speech
2518,ArnoldSchwarzenegger DannyDeVito KellyPreston ChloeWebb,Comedy,perfection delivery lowintelligence jetengine twinsseparatedatbirth artistcolony samehabits biologicalexperiment opposites catholicorphanage,UniversalPictures,UnitedStatesofAmerica,Twins
2519,WilliamHurt MariaBello KristenStewart EddieRedmayne,Drama Romance,independentfilm,areajapan,UnitedStatesofAmerica,The Yellow Handkerchief
2520,WhoopiGoldberg MargaretAvery DannyGlover AkosuaBusia,Drama,prison africa southernusa rape blackpeople sistersisterrelationship jazz violentfather violenthusband empowerment adoption jazzmusician letter incest,AmblinEntertainment TheGuber-PetersCompany WarnerBros.,UnitedStatesofAmerica,The Color Purple
2521,ParkJoong-hoon SolKyung-gu UhmJung-hwa HaJi-won,Action Adventure Drama Thriller,helicopter beach lossoffather giantwave tsunami familyrelationships korea disaster cigarettesmoking tears singlefather tearjerker stuckinelevator tidalwave disasterfilm,PolygonEntertainment CJEntertainment DoosabuFilm,SouthKorea,해운대
2522,BenedictCumberbatch KeiraKnightley MatthewGoode RoryKinnear,History Drama Thriller War,gay england worldwarii mathematician biography logician cryptography,BlackBearPictures BristolAutomotive,UnitedKingdom,The Imitation Game
2523,GoldieHawn EileenBrennan ArmandAssante RobertWebber,Comedy,paris roleofwomen,WarnerBros.,UnitedStatesofAmerica,Private Benjamin
2524,SissySpacek TommyLeeJones LevonHelm BeverlyD'Angelo,Drama Music,countrymusic femalefriendship biography lorettalynn washingtonstate still grandoleopry nashvilletennessee honkytonk coal coalmining journeyshownonmap,UniversalPictures,UnitedStatesofAmerica,Coal Miner's Daughter
2525,ZacharyGordon RobertCapron RachaelHarris SteveZahn,Comedy Family,basedonnovel comingofage youngboy breakingthefourthwall middleschool popularity duringcreditsstinger liveactionandanimation friendshipdrama linedrawing,DuneEntertainment ColorForce DaydayFilms,UnitedKingdom UnitedStatesofAmerica,Diary of a Wimpy Kid
2526,JessicaChastain NikolajCoster-Waldau MeganCharpentier IsabelleNélisse,Horror,supernaturalhorror,UniversalPictures Toma78 DeMilo,Spain Canada,Mama
2527,ChevyChase BeverlyD'Angelo ImogeneCoca RandyQuaid,Comedy Adventure Romance,usa relatives familyvacation familyholiday duringcreditsstinger,WarnerBros.,UnitedStatesofAmerica,National Lampoon's Vacation
2528,JohnnyKnoxville JacksonNicoll GeorginaCates SpikeJonze,Comedy,duringcreditsstinger,ParamountPictures MTVFilms DickhouseProductions,UnitedStatesofAmerica,Jackass Presents: Bad Grandpa
2529,HelenMirren MichaelSheen JamesCromwell SylviaSyms,Drama,upperclass lossofmother greatbritain sadness queen monarchy paparazzi primeminister headline oscaraward dyinganddeath queenelisabethii princecharles buckinghampalace royalfamily ladydianaspencer,BIMDistribuzione GranadaFilmProductions ScottRudinProductions PathéRennProductions PathéPicturesInternational Canal+ FutureFilms France3Cinema,France Italy UnitedKingdom UnitedStatesofAmerica,The Queen
2530,GeenaDavis AlecBaldwin WinonaRyder MichaelKeaton,Fantasy Comedy,minister giantsnake skeleton calypso arts afterlife childbride possession surrealism teenagegirl ghost,GeffenCompany The WarnerBros.,UnitedStatesofAmerica,Beetlejuice
2531,TylerPerry JillScott JanetJackson MichaelJaiWhite,Comedy Drama,,LionsGateFilms,UnitedStatesofAmerica,Why Did I Get Married?
2532,WinonaRyder GabrielByrne TriniAlvarado SamanthaMathis,Drama Romance,depression motherdaughterrelationship pregnant desire chalkboard  nightgown louisamayalcott birthoftwins womandirector,ColumbiaPictures,UnitedStatesofAmerica,Little Women
2533,DanielRadcliffe CiaránHinds SidneyJohnston AlisaKhazanova,Drama Horror Thriller,londonengland secret remake revenge lawyer photograph gothichorror hammerhorror estate ghost supernaturalpower,HammerFilmProductions UKFilmCouncil AllianceFilms FilmiVäst TalismanProductions CrossCreekPictures ExclusiveMediaGroup FilmgateFilms,Canada Sweden UnitedKingdom,The Woman in Black
2534,CamillaBelle KatieCassidy TommyFlanagan BrianGeraghty,Horror Thriller,babysitter deathofafriend killer strangeperson call,DavisEntertainment ScreenGems,UnitedStatesofAmerica,When a Stranger Calls
2535,FrankieMuniz PaulGiamatti AmandaBynes AmandaDetmer,Comedy Family,screenplay filmproducer auto rightandjustice liar essay intellectualproperty,UniversalPictures,UnitedStatesofAmerica,Big Fat Liar
2536,RobertDeNiro JohnCazale JohnSavage ChristopherWalken,Drama War,vietnamveteran pennsylvania vietnam party escape friend vietcong pittsburghsteelers,UniversalPictures EMIFilmsLtd.,UnitedKingdom UnitedStatesofAmerica,The Deer Hunter
2537,DustinHoffman RobertDeNiro AnneHeche WoodyHarrelson,Comedy Drama,washingtond.c. rape cia usapresident warveteran staging filmmaker albania sexscandal senator presidentialelection gulfwar mediaadviser manipulationofthemedia electioncampaign government war soldier extramaritalaffair,NewLineCinema TribecaProductions BaltimorePictures,UnitedStatesofAmerica,Wag the Dog
2538,HilaryDuff AdamLamberg HallieTodd RobertCarradine,Family Comedy,,WaltDisneyPictures TeenLifeProductions,UnitedStatesofAmerica,The Lizzie McGuire Movie
2539,DwayneJohnson BarryPepper JonBernthal SusanSarandon,Thriller Drama,fathersonrelationship basedontruestory,FrontStreetProductions ParticipantMedia ImagenationAbuDhabiFZ ExclusiveMediaGroup SpitfirePictures,UnitedStatesofAmerica UnitedArabEmirates,Snitch
2540,AdamScott ToniCollette AllisonTolman DavidKoechner,Horror Comedy Fantasy,fire winter santaclaus snowstorm christmastree snow fireplace poweroutage destruction demon germanaccent family blizzard flashback christmas badkids krampus,UniversalPictures LegendaryPictures,UnitedStatesofAmerica,Krampus
2541,JordanaBrewster ElijahWood CleaDuVall LauraHarris,Horror Mystery ScienceFiction,americanfootball highschool alien teacher teenager drug alieninfection doppelganger antiauthority mob students groupthink,DimensionFilms LosHooligansProductions,UnitedStatesofAmerica,The Faculty
2542,AngelaBassett LaurenceFishburne VanessaBellCalloway Rae'VenLarrymoreKelly,Drama Music,priceoffame tinaturner blackwoman cameoappearancebyreallifesubject africanamericanmusic blackfamily,TouchstonePictures,UnitedStatesofAmerica,What's Love Got to Do with It
2543,SylvesterStallone HarveyKeitel RayLiotta RobertDeNiro,Action Crime Drama,corruption newjersey handcuffs fbi bridge police burnedalive murder carcrash independentfilm badcop arson dirtycop internalaffairs caraccident newyorkcity violence nypd worldtradecenter jumpingoffabridge corruptcop,MiramaxFilms AcrosstheRiverProductions WoodsEntertainment,UnitedStatesofAmerica,Cop Land
2544,ChylerLeigh ChrisEvans JaimePressly EricChristianOlsen,Comedy,underdog ball kiss highschool schoolparty parody crush teenagecrush promqueen sittingonatoilet aftercreditsstinger duringcreditsstinger,OriginalFilm ColumbiaPicturesCorporation NealH.MoritzProductions,UnitedStatesofAmerica,Not Another Teen Movie
2545,JakeGyllenhaal MichaelPeña NatalieMartinez AnnaKendrick,Crime Drama Thriller,losangeles bulletproofvest u.s.marine medalofvalor policesergeant felon goldengun,Emmett/FurlaFilms ExclusiveMediaGroup HedgeFundFilmPartners CraveFilms KnightsbridgeEntertainment LeGrisbiProductions 5150Action,UnitedStatesofAmerica,End of Watch
2546,JoshuaJackson PaulWalker HillHarper LeslieBibb,Crime Drama Thriller,journalist secretsociety pizza wealth payphone rooftop attemptedsuicide fraternity footrace ivyleague u.s.senator dininghall,UniversalPictures OriginalFilm NewmarketCapitalGroup CraniumFilms,Canada UnitedStatesofAmerica,The Skulls
2547,EddieRedmayne FelicityJones CharlieCox EmilyWatson,Drama Romance,wifehusbandrelationship biography physicist basedonmemoir stephenhawking fictionalizedbiography motorneurondisease als,WorkingTitleFilms,UnitedKingdom,The Theory of Everything
2548,JamieKennedy TayeDiggs AnthonyAnderson ReginaHall,Comedy Crime,streetgang losangeles,KarzEntertainment BigTicketProductions WarnerBros.,UnitedStatesofAmerica,Malibu's Most Wanted
2549,NataliePortman AshleyJudd StockardChanning JoanCusack,Comedy Drama Romance,california baby supermarket oklahoma pregnancyandbirth pregnantminor change tennessee unwillinglypregnant teenagepregnancy startingover,TwentiethCenturyFoxFilmCorporation WindDancerFilms,UnitedStatesofAmerica,Where the Heart Is
2550,PeterO'Toole AlecGuinness AnthonyQuinn JackHawkins,Adventure Drama History War,cairo arabian worldwari horse jerusalem britisharmy britishempire damascus camel war desert arab ottomanempire,HorizonPictures(II),UnitedKingdom,Lawrence of Arabia
2551,ScoutTaylor-Compton SheriMoonZombie TylerMane ChaseWrightVanek,Horror,nurse shotgun nudity therapist book halloween barn deathofafriend insanity numberintitle rampage purgatory hospital pentagram overturningcar mentalinstitution red murderer violence whitehorse duringcreditsstinger michaelmyers phantomjam,DimensionFilms SpectacleEntertainmentGroup TrancasInternationalFilms,UnitedStatesofAmerica,Halloween II
2552,ReeseWitherspoon LauraDern ThomasSadoski KeeneMcRae,Drama,adventure biography hiking basedontruestory traveller,FoxSearchlightPictures PacificStandard bobindustries,UnitedStatesofAmerica,Wild
2553,GarretDillahunt MichaelBowen JoshuaCox RikiLindhome,Crime Thriller Horror Drama,rape whitetrash revenge murder dysfunctionalfamily swimmer family,RoguePictures FilmAfrika SeanS.CunninghamFilms,UnitedStatesofAmerica,The Last House on the Left
2554,DebraMessing DermotMulroney AmyAdams JackDavenport,Comedy Romance,basedonnovel callboy wedding escort fakeboyfriend womandirector,26Films GoldCircleFilms VisionviewProduction,UnitedStatesofAmerica,The Wedding Date
2555,JamieLeeCurtis BradLoree BustaRhymes BiancaKajlich,Horror Thriller,brothersisterrelationship innocence serialkiller michaelmyers,DimensionFilms,UnitedStatesofAmerica,Halloween: Resurrection
2556,CaryElwes RobinWright MandyPatinkin AndrétheGiant,Adventure Family Fantasy Comedy Romance,swashbuckler evilprince referencetosocrates referencetoplato screwball impersonation,ActIIICommunications ThePrincessBrideLtd. ButtercupFilmsLtd.,UnitedStatesofAmerica,The Princess Bride
2557,DenzelWashington NateParker ForestWhitaker DenzelWhitaker,Drama,biography,TheWeinsteinCompany HarpoFilms MarshallProduction,UnitedStatesofAmerica,The Great Debaters
2558,RyanGosling CareyMulligan BryanCranston AlbertBrooks,Drama Action Thriller Crime,stuntman bloodsplatter independentfilm policechase extremeviolence violence carchase bullet headstomp getaway crimelord existentialism silentprotagonist greatsoundtrack,BoldFilms MarcPlattProductions OddLotEntertainment FilmDistrict MotelMovies NewbridgeFilmCapital,UnitedStatesofAmerica,Drive
2559,LindsayLohan AdamGarcia GlenneHeadly AlisonPill,Comedy,rockstar spotlight highschool party rivalry womandirector boys,WaltDisneyPictures,Germany UnitedStatesofAmerica,Confessions of a Teenage Drama Queen
2560,JenniferAniston PaulRudd HaydenPanettiere AlanAlda,Comedy Drama Romance,blinddate love fallinginlove gaymanstraightwomanrelationship,TwentiethCenturyFoxFilmCorporation,UnitedStatesofAmerica,The Object of My Affection
2561,ImogenPoots RobertCarlyle RoseByrne JeremyRenner,Horror Thriller ScienceFiction,londonengland lossofmother lossoffamily mutant pest dyinganddeath chaos partsofdeadbody survivor supernatural survival ontherun zombie danger escapade virus plague femalecorpse siblingsrelations deadly chasesandraces chaosandmayham humannature,DNAFilms FigmentFilms SociedadGeneraldeCineS.A. UKFilmCouncil FoxAtomic KoanFilms,Spain UnitedKingdom,28 Weeks Later
2562,JimCaviezel MichaelChiklis LauraDern ClancyBrown,Drama,americanfootball sport highschoolsports,MandalayPictures AffirmFilms,UnitedStatesofAmerica,When the Game Stands Tall
2563,JeffDaniels AnnaSophiaRobb CicelyTyson EvaMarieSaint,Comedy Drama Family,,TwentiethCenturyFoxFilmCorporation,UnitedStatesofAmerica,Because of Winn-Dixie
2564,ChrisWarren Jr. KylaPratt SanaaLathan,Action Comedy Drama Romance,lovers affection sport basketball highschoolsports relationship womandirector,40Acres&AMuleFilmworks,UnitedStatesofAmerica,Love & Basketball
2565,JohnCusack MinnieDriver DanAykroyd JoanCusack,Action Comedy Thriller Romance,missionofmurder schoolparty highschoolreunion,CaravanPictures HollywoodPictures RogerBirnbaumProductions,UnitedStatesofAmerica,Grosse Pointe Blank
2566,SandraBullock ThomasHadenChurch BradleyCooper KenJeong,Comedy,blinddate eccentric aftercreditsstinger crosswordpuzzle mineshaft,DuneEntertainment Fox2000Pictures FortisFilms DuneEntertainmentIII RadarPictures,UnitedStatesofAmerica,All About Steve
2567,KimDirector JeffreyDonovan EricaLeerhsen TristineSkyler,Mystery Thriller Horror,witch video forest horror vision,ArtisanEntertainment HaxanFilms,UnitedStatesofAmerica,Book of Shadows: Blair Witch 2
2568,RobinTunney FairuzaBalk NeveCampbell RachelTrue,Drama Fantasy Horror Thriller,witch suicideattempt puberty magic blackmagic sorcery femalefriendship teenager hairloss outsider occultritual karma newcomer lovespell,ColumbiaPictures,UnitedStatesofAmerica,The Craft
